title,site,citations
VDARE,vdare.com,58
LifeSiteNews,lifesitenews.com,52
The_Gateway_Pundit,thegatewaypundit.com,45
Thierry_Meyssan,voltairenet.org,34
FrontPage_Magazine,frontpagemag.com,28
Ron_Unz,unz.com,24
Jihad_Watch,jihadwatch.org,23
Steve_Sailer,unz.com,20
Philip_Giraldi,unz.com,19
Peter_Brimelow,vdare.com,18
David_Horowitz,frontpagemag.com,17
David_Horowitz_Freedom_Center,frontpagemag.com,14
Michel_Chossudovsky,globalresearch.ca,12
Robert_B._Spencer,jihadwatch.org,11
John_Derbyshire,vdare.com,9
F._William_Engdahl,globalresearch.ca,8
Israel_Shamir,unz.com,8
Cassandra_MacDonald,thegatewaypundit.com,8
National_Vanguard_(United_States),stormfront.org,7
Don_Black_Stormfront_founder,stormfront.org,6
Pamela_Geller,jihadwatch.org,6
Alex_Jones,infowars.com,6
Pepe_Escobar,unz.com,6
American_History_X,stormfront.org,6
Renegade_(media_platform),stormfront.org,6
Carlo_Maria_Viganò,lifesitenews.com,6
Christopher_Cantwell,vdare.com,5
Owen_Shroyer,infowars.com,5
Pat_Buchanan,vdare.com,4
Bill_Warner_(writer),jihadwatch.org,4
Webster_Tarpley,globalresearch.ca,4
Cathy_O'Brien_author,infowars.com,3
National_Catholic_Reporter,lifesitenews.com,3
John_Derbyshire,unz.com,3
Hunter_(Pierce_novel),stormfront.org,3
Gloria_von_Thurn_und_Taxis,lifesitenews.com,3
Ethnic_Cleansing_(video_game),stormfront.org,3
Counter-jihad,jihadwatch.org,3
Human_Biodiversity_Institute,unz.com,3
InfoWars,infowars.com,3
Sam_Francis_(writer),vdare.com,3
Andrew_Anglin,unz.com,3
Apostolic_constitution,lifesitenews.com,2
Vladimir_Zelenko,infowars.com,2
Joe_Biggs,infowars.com,2
Steve_Pieczenik,infowars.com,2
Fjordman,jihadwatch.org,2
Martin_Webster,unz.com,2
Igor_Shafarevich,unz.com,2
Stormfront_(website),stormfront.org,2
Eurabia_political_thesis,jihadwatch.org,2
Udo_Ulfkotte,globalresearch.ca,2
Gerhard_Ludwig_Müller,lifesitenews.com,2
James_M._Cain,unz.com,2
Alison_Weir_(activist),unz.com,2
James_Alison,lifesitenews.com,2
Peter_Brimelow,unz.com,2
Abortion_in_Canada,lifesitenews.com,2
Jared_Taylor,vdare.com,2
Clinton_body_count,infowars.com,2
American_Front,stormfront.org,2
Lucian_Wintrich,thegatewaypundit.com,2
Sabo_(street_artist),thegatewaypundit.com,2
Caedite_eos._Novit_enim_Dominus_qui_sunt_eius.,unz.com,2
Dreams_from_My_Real_Father_documentary_film,frontpagemag.com,2
Razib_Khan,unz.com,2
Dvach,unz.com,2
David_Horowitz_Freedom_Center,jihadwatch.org,2
Joseph_diGenova,thegatewaypundit.com,1
Josh_Campbell_(journalist),thegatewaypundit.com,1
The_Daily_Stormer,thegatewaypundit.com,1
Freud's_Last_Session,frontpagemag.com,1
Al-Wala'_wal-Bara',jihadwatch.org,1
Princess_Milica_of_Montenegro,unz.com,1
Ras_Baraka,frontpagemag.com,1
Donna_Zuckerberg,unz.com,1
The_Whole_Town's_Talking,unz.com,1
Andrew_Cockburn,unz.com,1
Southern_Gothic,unz.com,1
Dick_Black_(politician),globalresearch.ca,1
Becky_stereotype,unz.com,1
Ken_Martin_(politician),frontpagemag.com,1
Kenana_ibn_al-Rabi,jihadwatch.org,1
Kenana_ibn_al-Rabi,frontpagemag.com,1
Forgiato_Blow,thegatewaypundit.com,1
The_American_Mercury,unz.com,1
I_Am_Not_a_Dog_on_a_Chain,unz.com,1
Janet_Nguyen,frontpagemag.com,1
The_King_of_Kings_(1927_film),unz.com,1
Herbert_Asbury,unz.com,1
Jay_Feely,thegatewaypundit.com,1
Lars_Vilks,jihadwatch.org,1
1776_Returns,thegatewaypundit.com,1
Evelyn_Farkas,thegatewaypundit.com,1
My_Friend_Hitler,unz.com,1
Joseph_W._Tobin,lifesitenews.com,1
Budhana,jihadwatch.org,1
Charles_Coughlin,unz.com,1
Yinon_Plan,voltairenet.org,1
Yinon_Plan,globalresearch.ca,1
George_Sassoon,unz.com,1
Barbara_Fried,unz.com,1
Norman_Angell,unz.com,1
Wayne_Allyn_Root,thegatewaypundit.com,1
Clemens_Arvay,globalresearch.ca,1
Vanessa_Beeley,globalresearch.ca,1
Religion_in_Europe,frontpagemag.com,1
Caroline_Cossey,unz.com,1
Castizo,unz.com,1
Jared_Taylor,unz.com,1
Murder_of_Seth_Rich,thegatewaypundit.com,1
Lowell_Thomas,unz.com,1
Victor_J._Glover,frontpagemag.com,1
Idriss_Aberkane,globalresearch.ca,1
Dixy_Lee_Ray,unz.com,1
Saxe-Weimar,unz.com,1
She_Hate_Me,unz.com,1
Curtis_Yarvin,unz.com,1
Crime_in_St._Louis,unz.com,1
Bend_Sinister_(novel),unz.com,1
Beni_Ḥassān,jihadwatch.org,1
Selous_Scouts,globalresearch.ca,1
James_Altman,lifesitenews.com,1
The_Coddling_of_the_American_Mind,unz.com,1
Murder_of_Betty_Van_Patter,frontpagemag.com,1
Beatrice_Wellington,frontpagemag.com,1
Karrin_Taylor_Robson,thegatewaypundit.com,1
Legal_status_of_human_sterilization_by_country,unz.com,1
Bill_Riccio,stormfront.org,1
Daniele_Ganser,globalresearch.ca,1
Jeremy_Bertino,thegatewaypundit.com,1
Crowned_republic,globalresearch.ca,1
Columba_Bush,unz.com,1
The_Protocols_of_the_Elders_of_Zion,unz.com,1
Richard_Stika,lifesitenews.com,1
Rick_Derringer,infowars.com,1
At-Tawbah,jihadwatch.org,1
Free_Patriotic_Movement,voltairenet.org,1
The_Bridge_on_the_River_Kwai,unz.com,1
Vittoria_Alliata_di_Villafranca,unz.com,1
Dag_Solstad,frontpagemag.com,1
Calixa_Lavallée,globalresearch.ca,1
Enrique_Bermúdez,unz.com,1
Rauf_Rashid_Abd_al-Rahman,thegatewaypundit.com,1
Michael_A._Hoffman_II,unz.com,1
Eva_Vlaardingerbroek,thegatewaypundit.com,1
Stop_Islamization_of_America_organization,jihadwatch.org,1
The_Rocky_Horror_Show,unz.com,1
Louis_Fischer,unz.com,1
Eva_Bartlett,globalresearch.ca,1
David_Ray_Griffin,unz.com,1
David_Rovics,unz.com,1
Pachamama,lifesitenews.com,1
Oleh_Tyahnybok,globalresearch.ca,1
Tragedy_and_Hope,unz.com,1
Tony_Martin_(professor),unz.com,1
Ann_Wright,globalresearch.ca,1
Heyward_Shepherd_monument,thegatewaypundit.com,1
André_Hoffmann_(businessman),lifesitenews.com,1
Pink_cat-eared_protest_hats,frontpagemag.com,1
Hassan_Yousef_(Hamas_leader),frontpagemag.com,1
Twitchy,unz.com,1
Ridley_Jones,lifesitenews.com,1
Wilhelm_Ritter_von_Leeb,frontpagemag.com,1
The_Grand_Chessboard,unz.com,1
MEChA,frontpagemag.com,1
Steve_Sailer,vdare.com,1
