title,site,citations
List_of_hanfu_headwear,zh.wikisource.org,23
Japanese_mahjong_yaku,ja.wikipedia.org,13
Jane_Lu,wikipedia.org,9
Japanese_mahjong,ja.wikipedia.org,8
Mika_Hashizume,zh.wikipedia.org,5
Lenni-Kim,fr.wikipedia.org,5
Ryunosuke_Kamiki,ja.wikipedia.org,5
Saeculum,wiktionary.org,4
Wikisource,nostalgia.wikipedia.org,4
Four_Perils,zh.wikisource.org,4
Wikivoyage,wikivoyage.org,4
List_of_men's_field_hockey_players_with_100_or_more_international_goals,wikipedia.org,3
Inkstick,zh.wikisource.org,3
Sergeant,wikipedia.org,3
Jun'ichi_Kanemaru,ja.wikipedia.org,3
MIMO,wikipedia.org,3
Flinn-Engdahl_regionalization,wikipedia.org,3
Japanese_mahjong_scoring_rules,ja.wikipedia.org,3
John_McIntire,wikipedia.org,2
Namaste,sa.wikisource.org,2
Tongtian_Jiaozhu,zh.wikisource.org,2
List_of_hospitals_in_Arizona,wikipedia.org,2
List_of_admission_tests_to_colleges_and_universities,tr.wikipedia.org,2
Arogyaswami_Paulraj,wikipedia.org,2
Arch_Enemy,wikipedia.org,2
Daisuke_Matsuzaka,ja.wikipedia.org,2
Sagnac_effect,fr.wikisource.org,2
Annulus_(mycology),wiktionary.org,2
Leycesteria_formosa,wiktionary.org,2
Azazel_Jacobs,wikipedia.org,2
Corporal,wikipedia.org,2
List_of_construction_methods,wikipedia.org,2
List_of_boxing_organisations,pt.wikipedia.org,2
List_of_Peugeot_vehicles,wikipedia.org,2
Guernsey_(clothing),wiktionary.org,2
Riak,wikipedia.org,2
Wikidata,query.wikidata.org,2
Wikinews,wikipedia.org,2
Wikisource,wikisource.org,2
Traffic_light,wikipedia.org,2
Mianfu,zh.wikisource.org,2
Yoo_Je-won,ko.wikipedia.org,2
Daddy_Yankee_discography,wikipedia.org,2
Bhumika_Chawla,wikipedia.org,2
Equestrian_statue_of_Bartolomeo_Colleoni,pl.wikipedia.org,2
Woman_in_a_Veil,ko.wikipedia.org,2
VisualEditor,wikipedia.org,2
Zhong_Kui,zh.wikisource.org,2
Index_of_branches_of_science,wiktionary.org,2
Peking_Duk,wikipedia.org,1
List_of_Wikipedia_mobile_applications,wiktionary.org,1
Stratified_randomization,wikipedia.org,1
French_Wikipedia,es.wikipedia.org,1
Types_of_tennis_match,wikipedia.org,1
Virginia_Intermont_College,wikipedia.org,1
List_of_countries_by_number_of_islands,es.wikipedia.org,1
