title,n_v02,n_v01,sim_mean,sim_median,sim_max,sim_p90
"""karma bloody karma"" phrase",65,45,0.6461668610572815,0.6469865441322327,0.9968531131744385,0.7809974551200867
'03 bonnie & clyde,102,28,0.5756791234016418,0.5818496942520142,0.8873956203460693,0.7161862254142761
(i'll never be) maria magdalena,93,6,0.4711383581161499,0.49071186780929565,0.9122209548950195,0.690608024597168
(i'm not your) steppin' stone,81,4,0.4851613938808441,0.48711642622947693,0.8624477982521057,0.7199293971061707
(theme from) valley of the dolls,69,4,0.613965630531311,0.6157551407814026,0.9231804609298706,0.7369546294212341
"(what's so funny 'bout) peace, love, and understanding",100,71,0.4719463288784027,0.46164947748184204,0.9956601858139038,0.6895768642425537
...baby one more time tour,65,8,0.5732399821281433,0.568090558052063,0.912476658821106,0.7131666541099548
.223 winchester super short magnum,99,6,0.6597859263420105,0.6643333435058594,0.9239780306816101,0.77269446849823
.257 roberts,96,7,0.6441925168037415,0.6532954573631287,0.8597973585128784,0.760643482208252
.280 british,131,28,0.5594704747200012,0.562454342842102,0.8872867822647095,0.6801825165748596
.30-03 springfield,86,9,0.6538273692131042,0.6613348126411438,0.8794531226158142,0.7628701329231262
.300 norma magnum,101,2,0.6519885659217834,0.6496273875236511,0.8583776354789734,0.7605886459350586
.375 socom,62,5,0.7022485733032227,0.7038992643356323,0.8827208280563354,0.7953108549118042
.401 winchester self-loading,58,4,0.6254577040672302,0.6389477252960205,0.8538874387741089,0.7450354695320129
.416 remington magnum,148,33,0.61234450340271,0.6157283782958984,0.9074172973632812,0.7361395955085754
.45-70,109,24,0.5957518815994263,0.5927797555923462,0.8968796730041504,0.7102360129356384
.at,81,3,0.6447394490242004,0.6354780197143555,0.8957750797271729,0.766418993473053
.ir,73,2,0.6836069226264954,0.6822654604911804,0.9130792617797852,0.7995577454566956
.la,77,5,0.6816356182098389,0.6809445023536682,0.8833069205284119,0.766430139541626
.li,54,2,0.67692631483078,0.6678086519241333,0.8850041031837463,0.7699314951896667
.no,107,19,0.6341362595558167,0.6312476992607117,0.8893998861312866,0.7515475153923035
.tf,106,80,0.6386761665344238,0.6362025737762451,0.9964777231216431,0.7815659046173096
.yt,71,1,0.6602943539619446,0.6672354936599731,0.8776779174804688,0.781659722328186
0-4-2,101,30,0.5074132084846497,0.4959717392921448,0.8683266639709473,0.6238924264907837
0s,194,151,0.4149651825428009,0.4020492136478424,0.9948819875717163,0.5803180932998657
1,115,16,0.45660626888275146,0.4507755637168884,0.8974672555923462,0.6146383285522461
1 + 2 + 4 + 8 + ⋯,179,10,0.5489563941955566,0.5595482587814331,0.8394033908843994,0.6696770787239075
1 news,215,137,0.5810856819152832,0.5747967958450317,0.9968894720077515,0.7179043292999268
"1,2-dichloropropane",84,2,0.6537899374961853,0.6644831895828247,0.8274708986282349,0.7436264753341675
"1,8-bis(dimethylamino)naphthalene",68,11,0.5062947869300842,0.5072364807128906,0.8473348617553711,0.6664050221443176
1-2-switch,88,7,0.5878453850746155,0.5956799983978271,0.819687008857727,0.726479172706604
1-docosanol,96,5,0.5654603242874146,0.5923763513565063,0.8521600365638733,0.7258129715919495
1-hexene,78,5,0.6006011366844177,0.6082121133804321,0.8601541519165039,0.7367666959762573
1-octene,90,4,0.5628174543380737,0.5631660223007202,0.8076452612876892,0.68979811668396
1. fc frankfurt,133,101,0.5434603691101074,0.5351503491401672,0.997531533241272,0.7092801332473755
1. fc slovácko,158,6,0.5955612063407898,0.5976576805114746,0.8787649869918823,0.7219749689102173
