title,n_v02,n_wiki,sim_mean,sim_median,sim_max,sim_p90
'03 bonnie & clyde,102,28,0.5694712996482849,0.5774145126342773,0.8646914958953857,0.7050734758377075
(i'll never be) maria magdalena,93,5,0.5471640229225159,0.5528736710548401,0.9016931056976318,0.6787348389625549
(i'm not your) steppin' stone,81,4,0.47683000564575195,0.49053746461868286,0.8549107909202576,0.7153202295303345
(theme from) valley of the dolls,69,4,0.6112300157546997,0.6113138794898987,0.9074711799621582,0.7228989601135254
"(what's so funny 'bout) peace, love, and understanding",100,10,0.4454002380371094,0.4502643942832947,0.902015209197998,0.6195491552352905
...baby one more time tour,65,8,0.556265115737915,0.5524857044219971,0.8799360394477844,0.6999168395996094
.223 winchester super short magnum,99,4,0.6516725420951843,0.6555179357528687,0.8681589961051941,0.7511847019195557
.257 roberts,96,6,0.6465785503387451,0.6476975679397583,0.8607974052429199,0.7411540150642395
.280 british,131,2,0.6679233312606812,0.687839150428772,0.8688973188400269,0.7623999118804932
.30-03 springfield,86,9,0.639947772026062,0.6412089467048645,0.8678603172302246,0.7602113485336304
.300 norma magnum,101,2,0.5991519093513489,0.597027599811554,0.8299312591552734,0.7419722080230713
.375 socom,62,4,0.6962079405784607,0.69452965259552,0.8633401393890381,0.7735323309898376
.401 winchester self-loading,58,3,0.5740208029747009,0.6159062385559082,0.8301666975021362,0.7351285815238953
.416 remington magnum,148,31,0.6064485907554626,0.6094270944595337,0.9070736169815063,0.7276352643966675
.45-70,109,19,0.5922533273696899,0.5903270244598389,0.8958300352096558,0.7048821449279785
.at,81,2,0.6602523326873779,0.6551879644393921,0.8681556582450867,0.7650948166847229
.ir,73,1,0.7102774977684021,0.6994126439094543,0.8920433521270752,0.8041216135025024
.la,77,4,0.6522939205169678,0.6440115571022034,0.8674321174621582,0.7619041800498962
.li,54,2,0.6596347689628601,0.6560736894607544,0.869783878326416,0.7536842226982117
.no,107,17,0.6159793734550476,0.614658772945404,0.8917166590690613,0.7367342710494995
.tf,106,1,0.6220940947532654,0.6194564700126648,0.875079333782196,0.7601009011268616
.yt,71,1,0.6519147753715515,0.6588041186332703,0.8599157333374023,0.7724177241325378
0-4-2,101,2,0.5904816389083862,0.5867290496826172,0.9108812808990479,0.7328766584396362
0s,194,5,0.3239779770374298,0.30810606479644775,0.7633959054946899,0.47007209062576294
1,115,11,0.46272704005241394,0.45864880084991455,0.8872652649879456,0.6145017147064209
1 + 2 + 4 + 8 + ⋯,179,10,0.5389495491981506,0.5476524233818054,0.8552677631378174,0.6683031916618347
"1,2-dichloropropane",84,2,0.6076368093490601,0.6042817234992981,0.8110135793685913,0.7461330890655518
"1,8-bis(dimethylamino)naphthalene",68,3,0.5385229587554932,0.5597851276397705,0.860054612159729,0.7060521841049194
