Title,Domain
PLoS ONE,www.plosone.org
Journal of Biological Chemistry,www.sciencedirect.com
Scientific Reports,www.nature.com
Journal of Physics Conference Series,iopscience.iop.org
Investigative Ophthalmology & Visual Science,www.iovs.org
The Astrophysical Journal,iopscience.org
Monthly Notices of the Royal Astronomical Society,mnras.oxfordjournals.org
RSC Advances,www.rsc.org
International Journal of Molecular Sciences,www.mdpi.com
IEEE Access,ieeexplore.ieee.org
Sustainability,www.mdpi.com
Physics Letters B,www.journals.elsevier.com
International Journal of Environmental Research and Public Health,www.mdpi.com
Optics Express,www.osapublishing.org
Sensors,www.mdpi.com
Electronics Letters,www.theiet.org
Nature Communications,www.nature.com
Nucleic Acids Research,nar.oxfordjournals.org
Applied Sciences,www.mdpi.com
Molecules,www.mdpi.com
Geophysical Research Letters,onlinelibrary.wiley.com
Alzheimer s & Dementia,onlinelibrary.wiley.com
Energies,www.mdpi.com
Acta Crystallographica Section E Structure Reports Online,journals.iucr.org
Journal of Dairy Science,www.journals.elsevier.com
Journal of High Energy Physics,www.springer.com
Cureus,www.cureus.com
Materials,www.mdpi.com
Frontiers in Psychology,www.frontiersin.org
E3S Web of Conferences,www.e3s-conferences.org
Antarctica A Keystone in a Changing World,rzblx1.uni-regensburg.de
Medicine,journals.lww.com
Journal of Clinical Investigation,www.jci.org
European Psychiatry,www.cambridge.org
Frontiers in Immunology,journal.frontiersin.org
Acta Physica Sinica,wulixb.iphy.ac.cn
Journal of Vision,journalofvision.org
The Japanese Journal of Pharmacology,www.jstage.jst.go.jp
The Astronomical Journal,iopscience.org
Poultry Science,www.journals.elsevier.com
BMJ Open,bmjopen.bmj.com
Nuclear Physics B,www.journals.elsevier.com
Procedia - Social and Behavioral Sciences,www.journals.elsevier.com
Frontiers in Microbiology,www.frontiersin.org
HortScience,journals.ashs.org
Procedia Engineering,www.journals.elsevier.com
Eos,onlinelibrary.wiley.com
Water Science & Technology,iwaponline.com
Research Society and Development,rsd.unifei.edu.br
MATEC Web of Conferences,www.matec-conferences.org
Remote Sensing,www.mdpi.com
Oncotarget,www.impactjournals.com
NeuroImage,www.elsevier.com
Environmental Health Perspectives,ehp03.niehs.nih.gov
International Journal of Computer Applications,www.ijcaonline.org
Nutrients,www.mdpi.com
