domain,wiki_count,wiki_total_cites,grok_count,grok_total_cites,domain:1,pc1
uk.reuters.com,1.0,22382102.0,0.0,0.0,uk.reuters.com,0.595903310785821
100milefreepress.net,6.0,22382102.0,27.0,44005756.0,100milefreepress.net,0.599200073403383
100percentfedup.com,0.0,0.0,3.0,44005756.0,100percentfedup.com,0.21938033253327
1010wins.radio.com,5.0,22382102.0,0.0,0.0,1010wins.radio.com,0.784700741672159
1011now.com,108.0,22382102.0,200.0,44005756.0,1011now.com,0.716641341260014
1015thehawk.com,6.0,22382102.0,2.0,44005756.0,1015thehawk.com,0.613631764388545
10news.com,380.0,22382102.0,394.0,44005756.0,10news.com,0.705943368084803
10tv.com,233.0,22382102.0,377.0,44005756.0,10tv.com,0.871438754060439
11alive.com,576.0,22382102.0,1178.0,44005756.0,11alive.com,0.771488593151581
12news.com,320.0,22382102.0,380.0,44005756.0,12news.com,0.857633305221127
12newsnow.com,37.0,22382102.0,177.0,44005756.0,12newsnow.com,0.768121544032843
12thmanrising.com,10.0,22382102.0,11.0,44005756.0,12thmanrising.com,0.552649667527312
12up.com,61.0,22382102.0,31.0,44005756.0,12up.com,0.594889248109946
13abc.com,99.0,22382102.0,132.0,44005756.0,13abc.com,0.762869649829406
13newsnow.com,283.0,22382102.0,469.0,44005756.0,13newsnow.com,0.724081167334288
13wham.com,140.0,22382102.0,194.0,44005756.0,13wham.com,0.768250992439629
13wmaz.com,120.0,22382102.0,325.0,44005756.0,13wmaz.com,0.64280305900301
14news.com,60.0,22382102.0,162.0,44005756.0,14news.com,0.629958582225415
19fortyfive.com,221.0,22382102.0,825.0,44005756.0,19fortyfive.com,0.645551477959822
19thnews.org,99.0,22382102.0,568.0,44005756.0,19thnews.org,0.569610523720532
2020news.de,0.0,0.0,1.0,44005756.0,2020news.de,0.369975936607298
20min.ch,327.0,22382102.0,189.0,44005756.0,20min.ch,0.692391064855794
20minutes.fr,625.0,22382102.0,528.0,44005756.0,20minutes.fr,0.683819733869346
21ninety.com,3.0,22382102.0,12.0,44005756.0,21ninety.com,0.625910110768467
21stcenturywire.com,0.0,0.0,30.0,44005756.0,21stcenturywire.com,0.207913678557154
247sports.com,5612.0,22382102.0,5061.0,44005756.0,247sports.com,0.546185208330786
247wallst.com,164.0,22382102.0,669.0,44005756.0,247wallst.com,0.871165064239559
24matins.fr,8.0,22382102.0,4.0,44005756.0,24matins.fr,0.548504992020313
24ur.com,396.0,22382102.0,98.0,44005756.0,24ur.com,0.837124346620663
2gb.com,88.0,22382102.0,84.0,44005756.0,2gb.com,0.655832271833148
30millionsdamis.fr,4.0,22382102.0,0.0,0.0,30millionsdamis.fr,0.535061261453827
38north.org,485.0,22382102.0,2287.0,44005756.0,38north.org,0.871165064239559
