person,personLabel,enwiki,positionLabel,parliamentaryGroupLabel
http://www.wikidata.org/entity/Q4700938,Akihiro Nishimura,https://en.wikipedia.org/wiki/Akihiro_Nishimura_(politician),member of the House of Representatives of Japan,Liberal Democratic Party
http://www.wikidata.org/entity/Q337406,Akihiro Ōta,https://en.wikipedia.org/wiki/Akihiro_Ota,member of the House of Representatives of Japan,Komeito
http://www.wikidata.org/entity/Q4700952,Akihisa Nagashima,https://en.wikipedia.org/wiki/Akihisa_Nagashima,member of the House of Representatives of Japan,Party of Hope
http://www.wikidata.org/entity/Q418206,Akiko Kamei,https://en.wikipedia.org/wiki/Akiko_Kamei,member of the House of Representatives of Japan,Constitutional Democratic Party of Japan
http://www.wikidata.org/entity/Q11585840,Akimasa Ishikawa,https://en.wikipedia.org/wiki/Akimasa_Ishikawa,member of the House of Representatives of Japan,Liberal Democratic Party
http://www.wikidata.org/entity/Q49999,Akinori Eto,https://en.wikipedia.org/wiki/Akinori_Eto,member of the House of Representatives of Japan,Liberal Democratic Party
http://www.wikidata.org/entity/Q3435725,Akio Fukuda,https://en.wikipedia.org/wiki/Akio_Fukuda,member of the House of Representatives of Japan,independent politician
http://www.wikidata.org/entity/Q418675,Akira Amari,https://en.wikipedia.org/wiki/Akira_Amari,member of the House of Representatives of Japan,Liberal Democratic Party
http://www.wikidata.org/entity/Q4701145,Akira Kasai,https://en.wikipedia.org/wiki/Akira_Kasai,member of the House of Representatives of Japan,Japanese Communist Party
http://www.wikidata.org/entity/Q263777,Akira Nagatsuma,https://en.wikipedia.org/wiki/Akira_Nagatsuma,member of the House of Representatives of Japan,Constitutional Democratic Party of Japan
http://www.wikidata.org/entity/Q11546586,Arata Takebe,https://en.wikipedia.org/wiki/Arata_Takebe,member of the House of Representatives of Japan,Liberal Democratic Party
http://www.wikidata.org/entity/Q4803390,Asahiko Mihara,https://en.wikipedia.org/wiki/Asahiko_Mihara,member of the House of Representatives of Japan,Liberal Democratic Party
http://www.wikidata.org/entity/Q11645002,Atsushi Nonaka,https://en.wikipedia.org/wiki/Atsushi_Nonaka,member of the House of Representatives of Japan,Liberal Democratic Party
http://www.wikidata.org/entity/Q4817826,Atsushi Oshima,https://en.wikipedia.org/wiki/Atsushi_Oshima,member of the House of Representatives of Japan,Party of Hope
http://www.wikidata.org/entity/Q41770647,Ayano Kunimitsu,https://en.wikipedia.org/wiki/Ayano_Kunimitsu,member of the House of Representatives of Japan,Liberal Democratic Party
http://www.wikidata.org/entity/Q18701018,Ayuko Kato,https://en.wikipedia.org/wiki/Ayuko_Kato,member of the House of Representatives of Japan,Liberal Democratic Party
http://www.wikidata.org/entity/Q806947,Banri Kaieda,https://en.wikipedia.org/wiki/Banri_Kaieda,member of the House of Representatives of Japan,Constitutional Democratic Party of Japan
http://www.wikidata.org/entity/Q729599,Bunmei Ibuki,https://en.wikipedia.org/wiki/Bunmei_Ibuki,member of the House of Representatives of Japan,Liberal Democratic Party
http://www.wikidata.org/entity/Q5100105,Chinami Nishimura,https://en.wikipedia.org/wiki/Chinami_Nishimura_(politician),member of the House of Representatives of Japan,Constitutional Democratic Party of Japan
http://www.wikidata.org/entity/Q5102671,Chizuko Takahashi,https://en.wikipedia.org/wiki/Chizuko_Takahashi,member of the House of Representatives of Japan,Japanese Communist Party
http://www.wikidata.org/entity/Q41770570,Daiki Michishita,https://en.wikipedia.org/wiki/Daiki_Michishita,member of the House of Representatives of Japan,Constitutional Democratic Party of Japan
http://www.wikidata.org/entity/Q11586644,Daikichi Ishibashi,https://en.wikipedia.org/wiki/Daikichi_Ishibashi,member of the House of Representatives of Japan,Japan Socialist Party
http://www.wikidata.org/entity/Q5209617,Daishiro Yamagiwa,https://en.wikipedia.org/wiki/Daishiro_Yamagiwa,member of the House of Representatives of Japan,Liberal Democratic Party
http://www.wikidata.org/entity/Q11572466,Denny Tamaki,https://en.wikipedia.org/wiki/Denny_Tamaki,member of the House of Representatives of Japan,independent politician
http://www.wikidata.org/entity/Q5349200,Eiichiro Washio,https://en.wikipedia.org/wiki/Eiichiro_Washio,member of the House of Representatives of Japan,independent politician
http://www.wikidata.org/entity/Q1133194,Eisuke Mori,https://en.wikipedia.org/wiki/Eisuke_Mori,member of the House of Representatives of Japan,Liberal Democratic Party
http://www.wikidata.org/entity/Q5371065,Emi Kaneko,https://en.wikipedia.org/wiki/Emi_Kaneko,member of the House of Representatives of Japan,independent politician
http://www.wikidata.org/entity/Q130719882,Fukasaku Jesús,https://en.wikipedia.org/wiki/Jes%C3%BAs_Fukasaku,member of the House of Representatives of Japan,Democratic Party For the People
http://www.wikidata.org/entity/Q1207174,Fukushiro Nukaga,https://en.wikipedia.org/wiki/Fukushiro_Nukaga,member of the House of Representatives of Japan,Liberal Democratic Party
http://www.wikidata.org/entity/Q11461458,Fumiaki Kobayashi,https://en.wikipedia.org/wiki/Fumiaki_Kobayashi_(politician),member of the House of Representatives of Japan,Liberal Democratic Party
http://www.wikidata.org/entity/Q5508556,Fumiaki Matsumoto,https://en.wikipedia.org/wiki/Fumiaki_Matsumoto,member of the House of Representatives of Japan,Liberal Democratic Party
http://www.wikidata.org/entity/Q359480,Fumio Kishida,https://en.wikipedia.org/wiki/Fumio_Kishida,member of the House of Representatives of Japan,Liberal Democratic Party
http://www.wikidata.org/entity/Q5517695,Gaku Hashimoto,https://en.wikipedia.org/wiki/Gaku_Hashimoto,member of the House of Representatives of Japan,Liberal Democratic Party
http://www.wikidata.org/entity/Q5530859,Gen Nakatani,https://en.wikipedia.org/wiki/Gen_Nakatani,member of the House of Representatives of Japan,Liberal Democratic Party
http://www.wikidata.org/entity/Q1135729,Goshi Hosono,https://en.wikipedia.org/wiki/Goshi_Hosono,member of the House of Representatives of Japan,Party of Hope
