person,personLabel,enwiki,positionLabel,parliamentaryGroupLabel
http://www.wikidata.org/entity/Q30165536,Q30165536,https://en.wikipedia.org/wiki/Tonia_Antoniazzi,member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q673628,Q673628,https://en.wikipedia.org/wiki/Mark_Hendrick,member of the 59th Parliament of the United Kingdom,Labour Co-operative
http://www.wikidata.org/entity/Q76364044,Abena Oppong-Asare,https://en.wikipedia.org/wiki/Abena_Oppong-Asare,member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q126851976,Abtisam Mohamed,https://en.wikipedia.org/wiki/Abtisam_Mohamed,member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q126853329,Adam Dance,https://en.wikipedia.org/wiki/Adam_Dance,member of the 59th Parliament of the United Kingdom,Liberal Democrats
http://www.wikidata.org/entity/Q126851008,Adam Jogee,https://en.wikipedia.org/wiki/Adam_Jogee,member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q75712717,Adam Thompson,https://en.wikipedia.org/wiki/Adam_Thompson_(politician),member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q126848030,Adnan Hussain,https://en.wikipedia.org/wiki/Adnan_Hussain,member of the 59th Parliament of the United Kingdom,independent politician
http://www.wikidata.org/entity/Q4685308,Adrian Ramsay,https://en.wikipedia.org/wiki/Adrian_Ramsay,member of the 59th Parliament of the United Kingdom,Green Party of England and Wales
http://www.wikidata.org/entity/Q6712373,Afzal Khan,https://en.wikipedia.org/wiki/Afzal_Khan_(British_politician),member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q75839213,Al Pinkerton,https://en.wikipedia.org/wiki/Al_Pinkerton,member of the 59th Parliament of the United Kingdom,Liberal Democrats
http://www.wikidata.org/entity/Q268196,Alan Campbell,https://en.wikipedia.org/wiki/Alan_Campbell_(politician),member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q24703078,Alan Gemmell,https://en.wikipedia.org/wiki/Alan_Gemmell,member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q19868483,Alan Mak,https://en.wikipedia.org/wiki/Alan_Mak_(politician),member of the 59th Parliament of the United Kingdom,Conservative Party
http://www.wikidata.org/entity/Q126851104,Alan Strickland,https://en.wikipedia.org/wiki/Alan_Strickland,member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q19957124,Alberto Costa,https://en.wikipedia.org/wiki/Alberto_Costa_(British_politician),member of the 59th Parliament of the United Kingdom,Conservative Party
http://www.wikidata.org/entity/Q393751,Alec Shelbrooke,https://en.wikipedia.org/wiki/Alec_Shelbrooke,member of the 59th Parliament of the United Kingdom,Conservative Party
http://www.wikidata.org/entity/Q126847617,Alex Baker,https://en.wikipedia.org/wiki/Alex_Baker,member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q126849837,Alex Ballinger,https://en.wikipedia.org/wiki/Alex_Ballinger,member of the 59th Parliament of the United Kingdom,Labour Party
