person,personLabel,enwiki,positionLabel,parliamentaryGroupLabel
http://www.wikidata.org/entity/Q350843,Adam Schiff,https://en.wikipedia.org/wiki/Adam_Schiff,United States senator,Democratic Party
http://www.wikidata.org/entity/Q4717593,Alex Padilla,https://en.wikipedia.org/wiki/Alex_Padilla,United States senator,Democratic Party
http://www.wikidata.org/entity/Q22237,Amy Klobuchar,https://en.wikipedia.org/wiki/Amy_Klobuchar,United States senator,Democratic Party
http://www.wikidata.org/entity/Q55639180,Andy Kim,https://en.wikipedia.org/wiki/Andy_Kim,United States senator,Democratic Party
http://www.wikidata.org/entity/Q544464,Angus King,https://en.wikipedia.org/wiki/Angus_King,United States senator,independent politician
http://www.wikidata.org/entity/Q58333626,Ashley Moody,https://en.wikipedia.org/wiki/Ashley_Moody,United States senator,Republican Party
http://www.wikidata.org/entity/Q324256,Ben Ray Luján,https://en.wikipedia.org/wiki/Ben_Ray_Luj%C3%A1n,United States senator,Democratic Party
http://www.wikidata.org/entity/Q124858476,Bernie Moreno,https://en.wikipedia.org/wiki/Bernie_Moreno,United States senator,Republican Party
http://www.wikidata.org/entity/Q359442,Bernie Sanders,https://en.wikipedia.org/wiki/Bernie_Sanders,United States senator,independent politician
http://www.wikidata.org/entity/Q861999,Bill Cassidy,https://en.wikipedia.org/wiki/Bill_Cassidy,United States senator,Republican Party
http://www.wikidata.org/entity/Q27734214,Bill Hagerty,https://en.wikipedia.org/wiki/Bill_Hagerty,United States senator,Republican Party
http://www.wikidata.org/entity/Q1827902,Brian Schatz,https://en.wikipedia.org/wiki/Brian_Schatz,United States senator,Democratic Party
http://www.wikidata.org/entity/Q5052604,Catherine Cortez Masto,https://en.wikipedia.org/wiki/Catherine_Cortez_Masto,United States senator,Democratic Party
http://www.wikidata.org/entity/Q923242,Chris Coons,https://en.wikipedia.org/wiki/Chris_Coons,United States senator,Democratic Party
http://www.wikidata.org/entity/Q1077594,Chris Murphy,https://en.wikipedia.org/wiki/Chris_Murphy,United States senator,Democratic Party
http://www.wikidata.org/entity/Q1077819,Chris Van Hollen,https://en.wikipedia.org/wiki/Chris_Van_Hollen,United States senator,Democratic Party
http://www.wikidata.org/entity/Q529294,Chuck Grassley,https://en.wikipedia.org/wiki/Chuck_Grassley,United States senator,Republican Party
http://www.wikidata.org/entity/Q380900,Chuck Schumer,https://en.wikipedia.org/wiki/Chuck_Schumer,United States senator,Democratic Party
http://www.wikidata.org/entity/Q5120540,Cindy Hyde-Smith,https://en.wikipedia.org/wiki/Cindy_Hyde-Smith,United States senator,Republican Party
http://www.wikidata.org/entity/Q1135767,Cory Booker,https://en.wikipedia.org/wiki/Cory_Booker,United States senator,Democratic Party
http://www.wikidata.org/entity/Q456064,Cynthia Lummis,https://en.wikipedia.org/wiki/Cynthia_Lummis,United States senator,Republican Party
http://www.wikidata.org/entity/Q5218668,Dan Sullivan,https://en.wikipedia.org/wiki/Dan_Sullivan_(U.S._senator),United States senator,Republican Party
http://www.wikidata.org/entity/Q5234544,David H. McCormick,https://en.wikipedia.org/wiki/Dave_McCormick,United States senator,Republican Party
http://www.wikidata.org/entity/Q2580649,Deb Fischer,https://en.wikipedia.org/wiki/Deb_Fischer,United States senator,Republican Party
http://www.wikidata.org/entity/Q434804,Dick Durbin,https://en.wikipedia.org/wiki/Dick_Durbin,United States senator,Democratic Party
http://www.wikidata.org/entity/Q1282411,Ed Markey,https://en.wikipedia.org/wiki/Ed_Markey,United States senator,Democratic Party
http://www.wikidata.org/entity/Q434706,Elizabeth Warren,https://en.wikipedia.org/wiki/Elizabeth_Warren,United States senator,Democratic Party
http://www.wikidata.org/entity/Q5387455,Eric Schmitt,https://en.wikipedia.org/wiki/Eric_Schmitt,United States senator,Republican Party
http://www.wikidata.org/entity/Q1494930,Gary Peters,https://en.wikipedia.org/wiki/Gary_Peters,United States senator,Democratic Party
http://www.wikidata.org/entity/Q528979,Jack Reed,https://en.wikipedia.org/wiki/Jack_Reed_(Rhode_Island_politician),United States senator,Democratic Party
http://www.wikidata.org/entity/Q27825033,Jacky Rosen,https://en.wikipedia.org/wiki/Jacky_Rosen,United States senator,Democratic Party
http://www.wikidata.org/entity/Q45940,James Lankford,https://en.wikipedia.org/wiki/James_Lankford,United States senator,Republican Party
http://www.wikidata.org/entity/Q270316,Jeanne Shaheen,https://en.wikipedia.org/wiki/Jeanne_Shaheen,United States senator,Democratic Party
http://www.wikidata.org/entity/Q1368405,Jeff Merkley,https://en.wikipedia.org/wiki/Jeff_Merkley,United States senator,Democratic Party
http://www.wikidata.org/entity/Q1365787,Jerry Moran,https://en.wikipedia.org/wiki/Jerry_Moran,United States senator,Republican Party
http://www.wikidata.org/entity/Q16146788,Jim Banks,https://en.wikipedia.org/wiki/Jim_Banks,United States senator,Republican Party
http://www.wikidata.org/entity/Q721871,Jim Risch,https://en.wikipedia.org/wiki/Jim_Risch,United States senator,Republican Party
http://www.wikidata.org/entity/Q720521,John Barrasso,https://en.wikipedia.org/wiki/John_Barrasso,United States senator,Republican Party
http://www.wikidata.org/entity/Q1344707,John Boozman,https://en.wikipedia.org/wiki/John_Boozman,United States senator,Republican Party
http://www.wikidata.org/entity/Q719568,John Cornyn,https://en.wikipedia.org/wiki/John_Cornyn,United States senator,Republican Party
http://www.wikidata.org/entity/Q3181500,John Fetterman,https://en.wikipedia.org/wiki/John_Fetterman,United States senator,Democratic Party
http://www.wikidata.org/entity/Q430518,John Hickenlooper,https://en.wikipedia.org/wiki/John_Hickenlooper,United States senator,Democratic Party
http://www.wikidata.org/entity/Q374762,John Hoeven,https://en.wikipedia.org/wiki/John_Hoeven,United States senator,Republican Party
http://www.wikidata.org/entity/Q6250211,John N. Kennedy,https://en.wikipedia.org/wiki/John_Kennedy_(Louisiana_politician),United States senator,Republican Party
http://www.wikidata.org/entity/Q6253810,John R. Curtis,https://en.wikipedia.org/wiki/John_Curtis,United States senator,Republican Party
http://www.wikidata.org/entity/Q462981,John Thune,https://en.wikipedia.org/wiki/John_Thune,United States senator,Republican Party
http://www.wikidata.org/entity/Q6270269,Jon Husted,https://en.wikipedia.org/wiki/Jon_Husted,United States senator,Republican Party
http://www.wikidata.org/entity/Q28839536,Jon Ossoff,https://en.wikipedia.org/wiki/Jon_Ossoff,United States senator,Democratic Party
http://www.wikidata.org/entity/Q13475242,Joni Ernst,https://en.wikipedia.org/wiki/Joni_Ernst,United States senator,Republican Party
http://www.wikidata.org/entity/Q23020745,Josh Hawley,https://en.wikipedia.org/wiki/Josh_Hawley,United States senator,Republican Party
http://www.wikidata.org/entity/Q111285444,Katie Britt,https://en.wikipedia.org/wiki/Katie_Britt,United States senator,Republican Party
http://www.wikidata.org/entity/Q3957020,Kevin Cramer,https://en.wikipedia.org/wiki/Kevin_Cramer,United States senator,Republican Party
http://www.wikidata.org/entity/Q22222,Kirsten Gillibrand,https://en.wikipedia.org/wiki/Kirsten_Gillibrand,United States senator,Democratic Party
http://www.wikidata.org/entity/Q22212,Lindsey Graham,https://en.wikipedia.org/wiki/Lindsey_Graham,United States senator,Republican Party
http://www.wikidata.org/entity/Q22360,Lisa Murkowski,https://en.wikipedia.org/wiki/Lisa_Murkowski,United States senator,Republican Party
http://www.wikidata.org/entity/Q24053,Maggie Hassan,https://en.wikipedia.org/wiki/Maggie_Hassan,United States senator,Democratic Party
http://www.wikidata.org/entity/Q22250,Maria Cantwell,https://en.wikipedia.org/wiki/Maria_Cantwell,United States senator,Democratic Party
http://www.wikidata.org/entity/Q357510,Mark Kelly,https://en.wikipedia.org/wiki/Mark_Kelly,United States senator,Democratic Party
http://www.wikidata.org/entity/Q453893,Mark Warner,https://en.wikipedia.org/wiki/Mark_Warner,United States senator,Democratic Party
http://www.wikidata.org/entity/Q3448772,Markwayne Mullin,https://en.wikipedia.org/wiki/Markwayne_Mullin,United States senator,Republican Party
http://www.wikidata.org/entity/Q458971,Marsha Blackburn,https://en.wikipedia.org/wiki/Marsha_Blackburn,United States senator,Republican Party
http://www.wikidata.org/entity/Q565374,Martin Heinrich,https://en.wikipedia.org/wiki/Martin_Heinrich,United States senator,Democratic Party
http://www.wikidata.org/entity/Q16476,Mazie Hirono,https://en.wikipedia.org/wiki/Mazie_Hirono,United States senator,Democratic Party
http://www.wikidata.org/entity/Q554792,Michael Bennet,https://en.wikipedia.org/wiki/Michael_Bennet,United States senator,Democratic Party
http://www.wikidata.org/entity/Q734319,Mike Crapo,https://en.wikipedia.org/wiki/Mike_Crapo,United States senator,Republican Party
http://www.wikidata.org/entity/Q627098,Mike Lee,https://en.wikipedia.org/wiki/Mike_Lee,United States senator,Republican Party
http://www.wikidata.org/entity/Q722503,Mike Rounds,https://en.wikipedia.org/wiki/Mike_Rounds,United States senator,Republican Party
http://www.wikidata.org/entity/Q355522,Mitch McConnell,https://en.wikipedia.org/wiki/Mitch_McConnell,United States senator,Republican Party
http://www.wikidata.org/entity/Q258825,Patty Murray,https://en.wikipedia.org/wiki/Patty_Murray,United States senator,Democratic Party
http://www.wikidata.org/entity/Q6106781,Pete Ricketts,https://en.wikipedia.org/wiki/Pete_Ricketts,United States senator,Republican Party
http://www.wikidata.org/entity/Q1112656,Peter Welch,https://en.wikipedia.org/wiki/Peter_Welch,United States senator,Democratic Party
http://www.wikidata.org/entity/Q463557,Rand Paul,https://en.wikipedia.org/wiki/Rand_Paul,United States senator,Republican Party
http://www.wikidata.org/entity/Q84146599,Raphael Warnock,https://en.wikipedia.org/wiki/Raphael_Warnock,United States senator,Democratic Party
http://www.wikidata.org/entity/Q2023708,Richard Blumenthal,https://en.wikipedia.org/wiki/Richard_Blumenthal,United States senator,Democratic Party
http://www.wikidata.org/entity/Q439729,Rick Scott,https://en.wikipedia.org/wiki/Rick_Scott,United States senator,Republican Party
http://www.wikidata.org/entity/Q27923290,Roger Marshall,https://en.wikipedia.org/wiki/Roger_Marshall,United States senator,Republican Party
http://www.wikidata.org/entity/Q390491,Roger Wicker,https://en.wikipedia.org/wiki/Roger_Wicker,United States senator,Republican Party
http://www.wikidata.org/entity/Q970272,Ron Johnson,https://en.wikipedia.org/wiki/Ron_Johnson,United States senator,Republican Party
http://www.wikidata.org/entity/Q529344,Ron Wyden,https://en.wikipedia.org/wiki/Ron_Wyden,United States senator,Democratic Party
http://www.wikidata.org/entity/Q16218474,Ruben Gallego,https://en.wikipedia.org/wiki/Ruben_Gallego,United States senator,Democratic Party
http://www.wikidata.org/entity/Q652066,Sheldon Whitehouse,https://en.wikipedia.org/wiki/Sheldon_Whitehouse,United States senator,Democratic Party
